Product URL,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MjI5MTQ4Nzg0MDIzNzIyOjE2OTAzODAzNTQ6c3BfYnRmOjMwMDAyMTQyNjQ4NTMzMjo6MDo6&url=%2FBetterShine-Printed-Waterproof-Backpack-Compartment%2Fdp%2FB0CC2PSGHK%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690380354%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1%26smid%3DA28K09EI2KGVEK,N/A,₹699,N/A,M.R.P:
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MjI5MTQ4Nzg0MDIzNzIyOjE2OTAzODAzNTQ6c3BfYnRmOjMwMDAwNjc0OTI3NDgzMjo6MDo6&url=%2FWALKENT-Stylish-Utility-Pockets-Swank%2Fdp%2FB0C7KPTKKS%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690380354%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,N/A,"₹2,490",5.0,1
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODAzMjM1Mzg2NDAxMTI6MTY5MDM4MDM1NjpzcF9hdGZfbmV4dDozMDAwMDY3ODk2Nzc0MzI6OjA6Og&url=%2FWALKENT-Waterproof-Polyester-Material-Hazel%2Fdp%2FB0C7KP5BT4%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690380356%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,N/A,"₹1,990",N/A,M.R.P:
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODAzMjM1Mzg2NDAxMTI6MTY5MDM4MDM1NjpzcF9hdGZfbmV4dDozMDAwMjE0MjY0ODUzMzI6OjA6Og&url=%2FBetterShine-Printed-Waterproof-Backpack-Compartment%2Fdp%2FB0CC2PSGHK%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690380356%26sprefix%3Dba%252Caps%252C283%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DA28K09EI2KGVEK,N/A,₹699,N/A,M.R.P:
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1690380356&sprefix=ba%2Caps%2C283&sr=8-19,N/A,₹499,3.9,"1,034"
https://www.amazon.in/gp/bestsellers/luggage/2917507031/ref=sr_bs_3_2917507031_1,N/A,₹387,4.3,"7,654"
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BHX7GY16/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1690380356&sprefix=ba%2Caps%2C283&sr=8-21,N/A,₹849,3.9,"3,258"
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1690380356&sprefix=ba%2Caps%2C283&sr=8-22,N/A,₹599,3.8,266
https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1690380356&sprefix=ba%2Caps%2C283&sr=8-23,N/A,₹799,3.8,"2,996"
https://www.amazon.in/Arctic-Fox-Liters-String-Backpack/dp/B08L6Q9V1H/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1690380356&sprefix=ba%2Caps%2C283&sr=8-24,N/A,₹229,4.3,"3,409"
https://www.amazon.in/POLESTAR-Vintage-Laptop-Backpack-bagpack/dp/B081GSQ9D9/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1690380356&sprefix=ba%2Caps%2C283&sr=8-25,N/A,₹549,3.9,"9,043"
https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3TVDK6/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1690380356&sprefix=ba%2Caps%2C283&sr=8-26,N/A,₹549,4.0,128
